rank,expert,slot,mean_combine_weight,mean_routing_logit
91,14,4,3.291026e-03,4.718147e-01
92,15,1,3.219308e-03,-1.528126e+00
93,15,7,3.181008e-03,9.561657e-01
94,29,1,3.159201e-03,2.933032e-01
95,29,4,3.060030e-03,-1.569548e+00
96,18,0,3.006937e-03,-3.349390e-01
97,5,1,3.001380e-03,9.606819e-01
98,7,7,2.970147e-03,-5.024415e-01
99,20,9,2.927050e-03,1.032114e+00
100,20,5,2.858761e-03,3.533806e-01
101,15,6,2.814627e-03,6.191545e-01
102,15,5,2.811562e-03,9.659290e-01
103,24,5,2.782386e-03,-1.188210e-01
104,14,2,2.732403e-03,5.334668e-01
105,3,9,2.646409e-03,4.333436e-01
106,6,8,2.617508e-03,-8.548120e-01
107,26,7,2.533816e-03,-3.468541e-01
108,10,6,2.401876e-03,-2.829198e-01
109,1,9,2.399195e-03,-1.609005e+00
110,21,3,2.392036e-03,-2.830507e-01
111,3,4,2.387332e-03,-5.691727e-01
112,21,2,2.379509e-03,-6.085744e-01
113,13,8,2.335485e-03,-2.515112e-01
114,26,6,2.202209e-03,1.585401e+00
115,6,9,2.177582e-03,-2.466419e-01
116,28,6,2.168983e-03,4.765271e-01
117,12,5,2.155509e-03,-1.974784e-02
118,10,5,2.140573e-03,-1.717608e-01
119,17,7,2.139415e-03,-3.327414e-02
120,24,6,2.138661e-03,-1.410857e-01
121,27,9,2.089088e-03,-2.972119e-02
122,18,7,2.088421e-03,6.993093e-01
123,15,9,2.069843e-03,-5.023130e-01
124,11,9,2.053640e-03,-1.414966e+00
125,18,2,2.049423e-03,-1.696885e+00
126,4,5,2.041740e-03,-2.714615e-01
127,3,0,2.011032e-03,-1.389699e-01
128,10,3,1.978130e-03,4.342789e-01
129,1,6,1.975747e-03,-5.377433e-01
130,9,3,1.930144e-03,-3.942784e-01
131,0,7,1.910692e-03,1.091223e+00
132,26,4,1.905422e-03,8.701127e-01
133,27,0,1.856235e-03,-1.458703e+00
134,22,2,1.815947e-03,-8.865046e-01
135,24,1,1.812357e-03,-9.496958e-01
136,17,1,1.792749e-03,-5.868228e-01
137,24,8,1.788741e-03,-3.024597e-01
138,2,0,1.759660e-03,-9.764137e-01
139,10,0,1.747055e-03,-1.418240e+00
140,13,3,1.723506e-03,9.712098e-02
